Operación;Liquidación;Operación;Mercado;Operación;ISIN;Valor;Títulos/NOMINAL;Divisa;Precio Neto;Importe neto
2026-02-25 ;2026-02-27 ;256318991;FONDOS EXTRANJEROS;SUSCRIPCION;LU1372006947;COBAS SELECTION FUND P ACC EUR;0,00799;EUR;37544,75;299,98
2026-02-06 ;2026-02-09 ;253512447;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;1,38331;EUR;144,58;199,99
2026-02-06 ;2026-02-10 ;253468228;FONDOS EXTRANJEROS;SUSCRIPCION;LU1372006947;COBAS SELECTION FUND P ACC EUR;0,02839;EUR;35212,22;999,67
2026-01-29 ;2026-02-02 ;251919983;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;15,84;EUR;25,2412;400
2025-12-30 ;2026-01-05 ;246254304;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;15,93;EUR;25,0966;400
2025-11-27 ;2025-12-02 ;241807661;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;16,03;EUR;24,9506;400
2025-11-06 ;2025-11-06 ;238735679;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,0026;EUR;43750,51;113,79
2025-11-06 ;2025-11-06 ;238735678;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,0013;EUR;43750,51;56,88
2025-11-06 ;2025-11-06 ;238735677;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,003;EUR;43750,51;131,27
2025-11-06 ;2025-11-06 ;238735676;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,0024;EUR;43750,51;105,01
2025-11-06 ;2025-11-06 ;238735675;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,0027;EUR;43750,51;118,14
2025-11-06 ;2025-11-06 ;238735674;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;FR0000989626;GROUPAMA TRESORERIE I ACC EUR;0,0366;EUR;43750,51;1601,5
2025-11-04 ;2025-11-05 ;238014858;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;4,0957;EUR;519,23;2126,6
2025-10-21 ;2025-10-23 ;234871701;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,2028;EUR;501,05;101,62
2025-10-20 ;2025-10-21 ;233776752;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;LU0625737910;PICTET CHINA INDEX P ACC;1,07647;EUR;146,2;157,38
2025-10-17 ;2025-10-20 ;233354879;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;LU0625737910;PICTET CHINA INDEX P ACC;0,6794;EUR;149,58;101,62
2025-10-14 ;2025-10-17 ;231717922;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;1,306;EUR;120,5103;157,38
2025-10-10 ;2025-10-14 ;229582482;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;0,73187;EUR;157,13;114,99
2025-09-29 ;2025-09-30 ;226517026;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;0,99569;EUR;150,84;150,18
2025-09-26 ;2025-09-30 ;226293160;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;6,24;EUR;24,028;150
2025-09-26 ;2025-09-29 ;226186251;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,201;EUR;497,47;99,99
2025-08-07 ;2025-08-08 ;218659309;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;0,72759;EUR;137,44;99,99
2025-08-06 ;2025-08-07 ;218314731;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,7;EUR;141,5086;99,05
2025-08-04 ;2025-08-07 ;218029800;FONDOS EXTRANJEROS;SUSCRIPCION;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;0,829;EUR;120,5509;99,93
2025-07-17 ;2025-07-21 ;216145706;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;6,54;EUR;22,917;149,87
2025-06-19 ;2025-06-24 ;211597026;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,48;EUR;22,3044;99,92
2025-06-19 ;2025-06-20 ;211455156;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,1124;EUR;444,74;49,98
2025-06-05 ;2025-06-09 ;209996246;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;6,67;EUR;22,4695;149,87
2025-06-05 ;2025-06-06 ;209962673;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;0,7713;EUR;129,65;99,99
2025-06-03 ;2025-06-06 ;209594026;FONDOS EXTRANJEROS;SUSCRIPCION;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;1,239;EUR;121,0033;149,92
2025-05-30 ;2025-06-04 ;209190119;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;8,356;EUR;120,5394;1007,27
2025-05-30 ;2025-05-30 ;209133474;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;FR0000991390;TRESORERIE R ACC EUR;0,01088;EUR;92580,05;1007,27
2025-05-07 ;2025-05-09 ;206244960;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;7,02;EUR;21,351;149,88
2025-05-02 ;2025-05-08 ;205761942;FONDOS EXTRANJEROS;SUSCRIPCION;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;2,179;EUR;119,2727;259,89
2025-04-28 ;2025-04-30 ;205318588;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,78;EUR;20,8936;99,87
2025-04-25 ;2025-04-29 ;205186154;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,2592;EUR;385,72;99,97
2025-04-08 ;2025-04-09 ;202368596;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;2,06132;EUR;116,43;239,99
2025-04-07 ;2025-04-09 ;201982193;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,03;EUR;19,8517;99,85
2025-03-18 ;2025-03-20 ;199142730;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,64;EUR;22,1618;124,99
2025-03-14 ;2025-03-10 ;198706859;FONDOS EXTRANJEROS;ABONO DIVIDENDO IIC;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;3,3203;EUR;0,04;0,14
2025-03-13 ;2025-03-17 ;198524719;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,58;EUR;21,826;99,96
2025-03-06 ;2025-03-10 ;197517581;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,2285;EUR;437,63;99,99
2025-02-19 ;2025-02-21 ;195453545;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;28,89;EUR;24,4218;705,72
2025-02-14 ;2025-02-17 ;194876890;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;4,64;EUR;152,0949;705,72
2025-02-06 ;2025-02-07 ;193784022;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,1701;98,66
2025-02-05 ;2025-02-07 ;193725148;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;8,3;EUR;24,0926;199,96
2025-02-04 ;2025-02-05 ;193321944;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,32;EUR;152,7061;48,86
2025-02-04 ;2025-02-05 ;193278448;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;3,0918;EUR;485,14;1499,95
2025-01-31 ;2025-01-31 ;193061079;FONDOS EXTRANJEROS;SUSCRIPCION;FR0000991390;TRESORERIE R ACC EUR;0,01088;EUR;91828,74;999,09
2025-01-24 ;2025-01-28 ;192390151;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,12;EUR;24,2326;99,83
2025-01-23 ;2025-01-24 ;192121245;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,33;EUR;149,1747;49,22
2024-12-23 ;2024-12-30 ;188437623;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,27;EUR;23,376;99,81
2024-12-20 ;2024-12-23 ;188252816;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,2623;98,72
2024-12-03 ;2024-12-05 ;185713678;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,04;EUR;23,8061;119,98
2024-12-02 ;2024-12-03 ;185374088;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,62;EUR;160,6155;99,58
2024-11-18 ;2024-11-19 ;183500649;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,3101;98,75
2024-11-08 ;2024-11-12 ;182523185;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,37;EUR;22,837;99,79
2024-10-23 ;2024-10-25 ;181207483;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,44;EUR;22,4999;99,89
2024-10-02 ;2024-10-04 ;178337014;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;6,31;EUR;158,4123;999,58
2024-09-24 ;2024-09-26 ;177750963;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;69,49;EUR;21,5848;1499,92
